epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,7778.58,1.59274,1.16506,0.00644,0.68539,0.3996,0.5297,0.31702,1.97142,1.64691,0.00969,0.000494885,0.000494885,0.000494885
43,8020.57,1.52278,1.12054,0.0064,0.65673,0.38279,0.49434,0.31024,1.98311,1.64538,0.00984,0.000486639,0.000486639,0.000486639
44,8280.68,1.6006,1.1222,0.00659,0.59645,0.4182,0.47589,0.293,1.96286,1.67229,0.00967,0.000478392,0.000478392,0.000478392
45,8538.88,1.56845,1.12915,0.00662,0.69459,0.4515,0.54245,0.32147,1.94721,1.68021,0.00954,0.000470145,0.000470145,0.000470145
46,244.446,1.53046,1.10691,0.00719,0.62267,0.39864,0.46458,0.2895,1.93707,1.73227,0.00967,0.000461898,0.000461898,0.000461898
47,538.021,1.56627,1.11434,0.00656,0.6025,0.44878,0.51197,0.31092,1.95613,1.58964,0.00949,0.000453652,0.000453652,0.000453652
48,866.018,1.53745,1.05315,0.00623,0.59034,0.42804,0.48718,0.29387,1.95278,1.71108,0.00949,0.000445405,0.000445405,0.000445405
49,1196.16,1.55095,1.07392,0.00637,0.57846,0.46099,0.52204,0.28659,1.98498,1.71411,0.00992,0.000437158,0.000437158,0.000437158
50,1453.24,1.52778,1.04693,0.00634,0.54553,0.4373,0.49278,0.27627,1.99774,1.67338,0.00971,0.000428912,0.000428912,0.000428912
51,1621.78,1.48023,0.99911,0.00577,0.61901,0.39753,0.49121,0.28371,1.99035,1.64707,0.01,0.000420665,0.000420665,0.000420665
52,1837.84,1.48402,1.00935,0.00594,0.57251,0.45227,0.50341,0.29192,2.02599,1.66862,0.01015,0.000412418,0.000412418,0.000412418
53,2153.25,1.43248,0.99327,0.00602,0.61158,0.44768,0.51488,0.30332,1.96524,1.65486,0.00975,0.000404172,0.000404172,0.000404172
54,2468.99,1.49565,1.00147,0.00602,0.63386,0.40654,0.48566,0.28773,1.99186,1.61983,0.01015,0.000395925,0.000395925,0.000395925
55,2708.68,1.48501,0.982,0.00589,0.56967,0.47894,0.4825,0.27631,2.00372,1.63686,0.01015,0.000387678,0.000387678,0.000387678
56,2970.19,1.47496,0.99737,0.00595,0.51096,0.47226,0.50795,0.30555,1.97051,1.64512,0.00977,0.000379431,0.000379431,0.000379431
57,3178.34,1.49891,0.96794,0.00574,0.55216,0.46787,0.51373,0.31353,1.98199,1.65606,0.00963,0.000371185,0.000371185,0.000371185
58,3349.84,1.4734,0.95342,0.00567,0.65057,0.44857,0.55053,0.32956,1.97481,1.63146,0.0098,0.000362938,0.000362938,0.000362938
59,3741.52,1.51178,0.99204,0.00577,0.70031,0.44878,0.53392,0.31404,1.98153,1.65811,0.00976,0.000354691,0.000354691,0.000354691
60,4060.76,1.44632,0.93386,0.00569,0.66737,0.46069,0.53304,0.33093,1.99447,1.6402,0.00997,0.000346445,0.000346445,0.000346445
61,4376.82,1.48307,0.95524,0.00573,0.71461,0.39689,0.51203,0.30856,2.01312,1.63362,0.00991,0.000338198,0.000338198,0.000338198
62,4687.81,1.39151,0.92821,0.0059,0.60752,0.43122,0.51759,0.31264,2.00935,1.62471,0.00991,0.000329951,0.000329951,0.000329951
63,4958.97,1.45917,0.96419,0.00601,0.70684,0.40513,0.49397,0.30389,2.04087,1.66706,0.01003,0.000321705,0.000321705,0.000321705
64,5282.88,1.48855,0.94727,0.00577,0.6603,0.43081,0.51342,0.30786,2.02375,1.62913,0.00978,0.000313458,0.000313458,0.000313458
65,5608.28,1.47234,0.94502,0.00573,0.61265,0.42505,0.50171,0.29249,1.99886,1.68602,0.01003,0.000305211,0.000305211,0.000305211
66,5912.75,1.42012,0.91033,0.00582,0.58256,0.45523,0.48496,0.28898,1.99234,1.66528,0.00993,0.000296964,0.000296964,0.000296964
67,6077.01,1.46774,0.93973,0.00563,0.758,0.41391,0.51339,0.29183,2.00654,1.66214,0.01016,0.000288718,0.000288718,0.000288718
68,6279.68,1.49243,0.93119,0.00552,0.66763,0.46539,0.53402,0.31256,2.01971,1.59474,0.00983,0.000280471,0.000280471,0.000280471
69,6468,1.47915,0.93004,0.00546,0.60848,0.49826,0.52444,0.30371,1.98282,1.6118,0.00965,0.000272224,0.000272224,0.000272224
70,6636.51,1.4268,0.9196,0.00533,0.5789,0.43123,0.49368,0.29109,1.99567,1.62641,0.00969,0.000263978,0.000263978,0.000263978
71,6803.46,1.36922,0.87388,0.00536,0.67389,0.43453,0.52229,0.31717,1.98953,1.6905,0.00953,0.000255731,0.000255731,0.000255731
72,6983.85,1.41536,0.89222,0.00533,0.63283,0.41244,0.491,0.29256,1.99685,1.6902,0.00972,0.000247484,0.000247484,0.000247484
73,7149.76,1.40689,0.90331,0.00544,0.59558,0.44958,0.50384,0.30374,1.9937,1.64868,0.00971,0.000239238,0.000239238,0.000239238
74,7333.47,1.45295,0.93875,0.00584,0.5541,0.48251,0.50402,0.29383,2.01388,1.6148,0.00978,0.000230991,0.000230991,0.000230991
75,7520.11,1.45357,0.94424,0.00553,0.63489,0.44886,0.51342,0.30685,2.02523,1.5862,0.00998,0.000222744,0.000222744,0.000222744
76,7748.02,1.48476,0.95601,0.00554,0.54122,0.46198,0.50995,0.30506,1.99541,1.62154,0.00957,0.000214497,0.000214497,0.000214497
77,167.931,1.31933,0.84067,0.00563,0.51709,0.47376,0.48931,0.29335,1.98171,1.64543,0.00961,0.000206251,0.000206251,0.000206251
78,332.525,1.38642,0.88489,0.00533,0.58846,0.46691,0.49483,0.29709,1.98959,1.67301,0.0096,0.000198004,0.000198004,0.000198004
79,500.066,1.37133,0.85603,0.00518,0.5431,0.4666,0.49506,0.29144,1.98709,1.64639,0.00961,0.000189757,0.000189757,0.000189757
80,1055.8,1.38116,0.86243,0.00516,0.5006,0.46771,0.48559,0.29157,1.97039,1.7086,0.00959,0.000181511,0.000181511,0.000181511
81,1215.19,1.36661,0.86048,0.00514,0.56979,0.51856,0.50831,0.30362,1.98401,1.68919,0.00964,0.000173264,0.000173264,0.000173264
82,1377.52,1.33958,0.82945,0.00489,0.57265,0.47108,0.50192,0.2949,2.00606,1.66097,0.01001,0.000165017,0.000165017,0.000165017
83,1551.16,1.33182,0.83124,0.00497,0.55766,0.44989,0.49476,0.29782,1.99641,1.68735,0.00973,0.000156771,0.000156771,0.000156771
84,1891.21,1.27274,0.8254,0.00499,0.51787,0.47772,0.48558,0.28928,2.00819,1.72071,0.01001,0.000148524,0.000148524,0.000148524
85,2207.86,1.35018,0.83168,0.005,0.54106,0.454,0.48502,0.29411,1.9858,1.70958,0.00973,0.000140277,0.000140277,0.000140277
86,2552.03,1.3354,0.82765,0.00489,0.52922,0.4528,0.49307,0.28906,2.01834,1.68596,0.01001,0.000132031,0.000132031,0.000132031
87,2868.2,1.32695,0.83602,0.0049,0.50956,0.45328,0.49013,0.29823,1.99942,1.69218,0.00973,0.000123784,0.000123784,0.000123784
88,3218.62,1.35165,0.8198,0.00475,0.52284,0.4985,0.50228,0.30957,2.00793,1.66052,0.00985,0.000115537,0.000115537,0.000115537
89,3547.37,1.32955,0.80801,0.00469,0.54668,0.46345,0.50394,0.29957,2.00942,1.70476,0.00979,0.00010729,0.00010729,0.00010729
90,3877.21,1.37191,0.85479,0.00476,0.53726,0.45881,0.5045,0.30222,2.02077,1.69201,0.00979,9.90437e-05,9.90437e-05,9.90437e-05
91,4050.51,1.38471,0.82472,0.00584,0.55967,0.48182,0.51422,0.3144,1.95941,1.71089,0.00943,9.0797e-05,9.0797e-05,9.0797e-05
92,4322.22,1.37007,0.78819,0.00568,0.53185,0.48831,0.49978,0.30222,1.99891,1.70104,0.00953,8.25503e-05,8.25503e-05,8.25503e-05
93,4635.94,1.35499,0.78925,0.00564,0.57671,0.48522,0.49897,0.30126,1.98708,1.69555,0.00958,7.43036e-05,7.43036e-05,7.43036e-05
94,4927.86,1.3319,0.78736,0.0055,0.58587,0.49426,0.50141,0.30146,1.97833,1.69953,0.0095,6.60569e-05,6.60569e-05,6.60569e-05
95,5238.17,1.32512,0.78367,0.00545,0.60731,0.4854,0.50155,0.30392,1.9762,1.6952,0.00948,5.78102e-05,5.78102e-05,5.78102e-05
96,5406.46,1.29176,0.75899,0.00564,0.61116,0.48334,0.50818,0.3056,1.97604,1.6808,0.00958,4.95635e-05,4.95635e-05,4.95635e-05
97,5630.78,1.31607,0.77748,0.0054,0.61185,0.48987,0.5082,0.30409,1.99179,1.67968,0.00973,4.13168e-05,4.13168e-05,4.13168e-05
98,5941.98,1.31185,0.76629,0.00531,0.58122,0.49118,0.49764,0.29896,1.97998,1.68612,0.00963,3.30701e-05,3.30701e-05,3.30701e-05
99,6223.15,1.3141,0.77293,0.00553,0.56788,0.4858,0.50187,0.30181,1.97548,1.68097,0.00952,2.48234e-05,2.48234e-05,2.48234e-05
100,6520.4,1.27376,0.75268,0.00532,0.56186,0.48114,0.49942,0.29971,1.97705,1.68053,0.00959,1.65767e-05,1.65767e-05,1.65767e-05
